사업장명,업종구분대분류,업종구분소분류,도로명전체주소
광평도새기촌본점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 애월읍 구엄동3길 64, 1층"
삼겹살동동,일반음식점,식육(숯불구이),제주특별자치도 제주시 조천읍 신촌3길 7-2
돈떵이용담점,일반음식점,식육(숯불구이),제주특별자치도 제주시 용담로 28 (용담이동)
제주댕댕이애견가족수영장카페,일반음식점,한식,제주특별자치도 제주시 애월읍 광령평화2길 116-20
애삐리바당,일반음식점,한식,제주특별자치도 제주시 도남로 102-2 (도남동)
남문숯불바베큐앤치킨노형점,일반음식점,통닭(치킨),"제주특별자치도 제주시 정존5길 21, 1층 (노형동)"
양촌리마을,일반음식점,탕류(보신용),제주특별자치도 제주시 진군길 31-5 (노형동)
허클베리핀,일반음식점,기타,"제주특별자치도 제주시 노형5길 44, 1층 (노형동)"
장터옛날통닭함덕점,일반음식점,일식,"제주특별자치도 제주시 조천읍 신북로 519, 1층"
우무깨,일반음식점,한식,제주특별자치도 제주시 우도면 우도해안길 356
차이메이,일반음식점,중국식,제주특별자치도 제주시 신설로9길 37 (이도이동)
오막살이,일반음식점,식육(숯불구이),
이브3호점,일반음식점,한식,"제주특별자치도 제주시 신광로 50, 2층 (연동)"
안녕육지사람,일반음식점,경양식,"제주특별자치도 제주시 우도면 우도해안길 796, 1층"
옛집,일반음식점,한식,제주특별자치도 제주시 연동4길 6-4 (연동)
매기의추억,일반음식점,한식,제주특별자치도 제주시 한림읍 한림해안로 595
시바,일반음식점,기타,"제주특별자치도 제주시 조천읍 신흥로1길 62-10, 1층"
월정포구,일반음식점,한식,"제주특별자치도 제주시 구좌읍 월정1길 70-16, 1층"
탐라면,일반음식점,분식,"제주특별자치도 제주시 애월읍 애월로 37, 1층"
시타북빠,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 구좌읍 평대13길 44, 1층"
수제홍과일모찌2호점,일반음식점,기타,"제주특별자치도 제주시 애월읍 하귀동남3길 15, 1층"
꺼멍집,일반음식점,식육(숯불구이),"제주특별자치도 제주시 애월읍 중산간서로 6716, 1층"
돼지앤,일반음식점,식육(숯불구이),"제주특별자치도 제주시 구좌읍 세화1길 33, 1층"
바코드나인,일반음식점,기타,"제주특별자치도 제주시 연동11길 42, 2층 (연동)"
대한식당 일도점,일반음식점,식육(숯불구이),제주특별자치도 제주시 고마로 95 (일도이동)
공룡마라탕5호점,일반음식점,경양식,"제주특별자치도 제주시 우정로 67, 1층 (외도일동)"
목마조랑말뼈해장국,일반음식점,호프/통닭,"제주특별자치도 제주시 서광로 190, 1층 (삼도일동)"
심취,일반음식점,한식,"제주특별자치도 제주시 월랑로4길 16, 1층 (노형동)"
쿠야,일반음식점,까페,"제주특별자치도 제주시 연동11길 39, 102호 (연동)"
서울식당,일반음식점,한식,제주특별자치도 제주시 조천읍 함덕13길 5
스페샬노형주공점,일반음식점,기타,"제주특별자치도 제주시 정존11길 54, 상가동 103호 (노형동,정든마을)"
짬뽕플러스,일반음식점,한식,"제주특별자치도 제주시 애월읍 하귀동남1길 25-1, 1층"
민박사봉평막국수교래점,일반음식점,기타,"제주특별자치도 제주시 조천읍 비자림로 685-14, 1층"
산천초목오리약선요리,일반음식점,한식,제주특별자치도 제주시 오복6길 8 (이도이동)
훌리버리신제주점,일반음식점,한식,"제주특별자치도 제주시 정존7길 19, 102호 (노형동)"
함덕화로화북점,일반음식점,한식,"제주특별자치도 제주시 진남로6길 3, 1층 (화북일동)"
돈삼겹삼화3호점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 지석8길 13-22, 1층 (삼양이동)"
바닷가에서,일반음식점,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 2232, 1동 1층"
협재해녀의집,일반음식점,횟집,제주특별자치도 제주시 한림읍 협재3길 19
오미정,일반음식점,한식,제주특별자치도 제주시 평전길 31 (삼도일동)
서촌제한라수목원점,일반음식점,분식,"제주특별자치도 제주시 은수길 65, C동 1층 (연동)"
애월할망네,일반음식점,한식,"제주특별자치도 제주시 애월읍 중산간서로 5632, 1층"
시선연동점,일반음식점,호프/통닭,"제주특별자치도 제주시 신대로16길 44, 1층 (연동)"
자담치킨노형점,일반음식점,한식,"제주특별자치도 제주시 수덕5길 35, 1층 (노형동, 대원빌라)"
짱갈비04,일반음식점,식육(숯불구이),제주특별자치도 제주시 신대로14길 38 (연동)
산지해장국노형직영점,일반음식점,한식,"제주특별자치도 제주시 노형9길 16-1, 1층 (노형동)"
휘슬피쉬본점,일반음식점,한식,"제주특별자치도 제주시 서부두2길 26, 1층 103호 (건입동)"
스트라이크존,일반음식점,기타,"제주특별자치도 제주시 고마로 95, 2층 (일도이동)"
주식회사작가의부엌,일반음식점,뷔페식,"제주특별자치도 제주시 수목원길 65-6, 지하1층 (연동)"
제주오름과바당,일반음식점,한식,"제주특별자치도 제주시 한경면 녹차분재로 531, 1층"
연동마라도도남,일반음식점,한식,"제주특별자치도 제주시 청사로3길 1-6, 1층 (도남동)"
우도에도배달있다,일반음식점,분식,"제주특별자치도 제주시 우도면 우도로 176, 1층"
가든일마레,일반음식점,식육(숯불구이),"제주특별자치도 제주시 한경면 녹차분재로 619, 1층"
해녀김밥본점,일반음식점,기타,"제주특별자치도 제주시 조천읍 함덕로 40, 3층 302호"
고래밥,일반음식점,한식,"제주특별자치도 제주시 애월읍 애월로 93-1, 1층"
원조큰맘할매순대국아라점,일반음식점,한식,"제주특별자치도 제주시 중앙로 539, 1층 (아라일동)"
우도이디중식,일반음식점,중국식,"제주특별자치도 제주시 우도면 우도로 193, 1층"
써니킴밥,일반음식점,분식,"제주특별자치도 제주시 수덕11길 1, 1층 (노형동)"
제주인짬뽕,일반음식점,중국식,"제주특별자치도 제주시 지석12길 14, 1층 (삼양이동)"
명품치킨제주대점,일반음식점,통닭(치킨),제주특별자치도 제주시 산천단동3길 31 (아라일동)
보성식당,일반음식점,한식,"제주특별자치도 제주시 동광로1길 30, 1층 (이도일동)"
시청중국관,일반음식점,호프/통닭,"제주특별자치도 제주시 신성로13길 27, 3층 (이도이동)"
멕시카나치킨화북점,일반음식점,통닭(치킨),제주특별자치도 제주시 동화로 3 (화북일동)
유,일반음식점,까페,"제주특별자치도 제주시 천수로6길 3, 지하1층 (이도이동)"
한림칼국수제주본점,일반음식점,한식,제주특별자치도 제주시 한림읍 한림해안로 141
삼일해장국,일반음식점,한식,제주특별자치도 제주시 애월읍 하귀9길 14
블라썸1407,일반음식점,기타,"제주특별자치도 제주시 애월읍 고하상로 103, 1층"
상호네숯불구이,일반음식점,한식,"제주특별자치도 제주시 남광로 146, 1층 (이도이동)"
장위동유성집신제주점,일반음식점,한식,"제주특별자치도 제주시 수덕9길 3, 1층 (노형동)"
양푼속닭한마리,일반음식점,한식,제주특별자치도 제주시 연동9길 26 (연동)
형제갈비신제주점,일반음식점,한식,제주특별자치도 제주시 은남4길 41 (연동)
우도향,일반음식점,횟집,제주특별자치도 제주시 우도면 우도해안길 848
빌레리조트구내식당,일반음식점,한식,제주특별자치도 제주시 애월읍 고내로13길 79
조실장회센타,일반음식점,식육(숯불구이),제주특별자치도 제주시 고산동산6길 4 (이도이동)
율군짬뽕,일반음식점,한식,"제주특별자치도 제주시 천수로 82, 105동 101호 (일도이동, 혜성대유아파트)"
토투가,일반음식점,기타,"제주특별자치도 제주시 한림읍 귀덕9길 19, 1층"
콜라,일반음식점,기타,"제주특별자치도 제주시 한림읍 일주서로 5857, 1~2층"
한울타리한우정육식당,일반음식점,한식,"제주특별자치도 제주시 구좌읍 송당서길 5, 1층"
함덕맛집막먹자씨연탄구이,일반음식점,한식,제주특별자치도 제주시 조천읍 신북로 650-1
토대력대학로점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 서광로32길 6 (이도이동,(학사서로 10))"
본죽앤비빔밥제주노형점,일반음식점,한식,"제주특별자치도 제주시 월랑로 39, 동마빌딩 104호 (노형동)"
금하갈비,일반음식점,식육(숯불구이),"제주특별자치도 제주시 오등14길 23 (오등동, 제2호)"
또똣부뚜막,일반음식점,한식,
칠공삼공,일반음식점,한식,제주특별자치도 제주시 한림읍 한림로17길 16
나눔마당,일반음식점,호프/통닭,"제주특별자치도 제주시 사장길 12, 1층 (연동)"
제주일도냉삼,일반음식점,식육(숯불구이),"제주특별자치도 제주시 연수로5길 2 (일도이동,(신천4로41))"
에이에이,일반음식점,까페,제주특별자치도 제주시 중앙로 지하 234-1 (이도이동)
광림본점,일반음식점,한식,제주특별자치도 제주시 전농로 82 (삼도일동)
커피트리,일반음식점,기타,"제주특별자치도 제주시 한라대학로 73 (노형동,(한라대학로77))"
장가계,일반음식점,중국식,제주특별자치도 제주시 다랑곶4길 66 (노형동)
명품한정식,일반음식점,식육(숯불구이),"제주특별자치도 제주시 연오로 123, 1층 (오라이동)"
복삼계탕,일반음식점,한식,제주특별자치도 제주시 성지로 75 (일도일동)
이돈갓노형점,일반음식점,경양식,"제주특별자치도 제주시 달마루길 10-1, 2층 (노형동)"
오부장치킨노형뜨란체점,일반음식점,통닭(치킨),제주특별자치도 제주시 정존11길 43 (노형동)
흑돼지잡스,일반음식점,한식,제주특별자치도 제주시 구남로4길 4 (이도이동)
곰솔과맹개,일반음식점,한식,"제주특별자치도 제주시 연동3길 33 (연동,(연제2로 45))"
한경가든,일반음식점,한식,"제주특별자치도 제주시 한경면 노을해안로 1259, 1동 1층"
또다시영림,일반음식점,한식,제주특별자치도 제주시 동광로6길 14 (이도이동)
올레쇠막,일반음식점,호프/통닭,제주특별자치도 제주시 용남길 23 (용담일동)
요레,일반음식점,한식,"제주특별자치도 제주시 태성로5길 32, 1층 (일도이동)"
소노벨제주어멍,일반음식점,한식,"제주특별자치도 제주시 조천읍 신북로 577, 신관동 B101호"
아라돈사촌,일반음식점,한식,제주특별자치도 제주시 중앙로 461 (아라이동)
물만난고기,일반음식점,한식,"제주특별자치도 제주시 다랑곶4길 24, 1층 (노형동)"
굽네치킨도남점,일반음식점,통닭(치킨),제주특별자치도 제주시 신성로 70 (도남동)
불닭공장노형점,일반음식점,한식,제주특별자치도 제주시 원노형6길 19 (노형동)
월복,일반음식점,한식,제주특별자치도 제주시 성화로 8 (용담이동)
돈잔치,일반음식점,일식,제주특별자치도 제주시 연수로 11 (일도이동)
애월맛집제주대박이네,일반음식점,식육(숯불구이),"제주특별자치도 제주시 애월읍 일주서로 7053, 3층"
거문오름식당,일반음식점,한식,"제주특별자치도 제주시 조천읍 선교로 196, 1층"
고니노형점,일반음식점,한식,"제주특별자치도 제주시 다랑곶4길 2 (노형동,(다랑굿5로4))"
곶자왈칼국수,일반음식점,한식,"제주특별자치도 제주시 조천읍 비자림로 636, 1층"
부가네얼큰이,일반음식점,한식,제주특별자치도 제주시 도남로 27 (도남동)
제주대패집외도점,일반음식점,일식,"제주특별자치도 제주시 우령2길 29-5, 101호 (외도일동, 오페라연립)"
하영하영,일반음식점,한식,"제주특별자치도 제주시 평전길 13, 1층 (삼도일동)"
(주)해길별오름,일반음식점,식육(숯불구이),"제주특별자치도 제주시 오라로 132, 1층 (오라일동)"
일품순두부본점,일반음식점,한식,"제주특별자치도 제주시 도령로 64, 1층 (연동)"
하루밥,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 도근내길 28, 1층 (외도일동)"
모찌롱,일반음식점,기타,"제주특별자치도 제주시 관덕로6길 10, 1층 (삼도이동)"
돈부심,일반음식점,한식,"제주특별자치도 제주시 문송1길 23, 1층 (연동)"
헬로우프렌드,일반음식점,한식,제주특별자치도 제주시 과원북2길 64 (연동)
이자카야도남,일반음식점,식육(숯불구이),"제주특별자치도 제주시 도남로7길 45-1, 1층 (도남동)"
우리전원,일반음식점,호프/통닭,"제주특별자치도 제주시 서광로 184, 지하2층 (삼도일동)"
황제토종닭,일반음식점,한식,"제주특별자치도 제주시 조천읍 함덕6길 19-4, 1층"
구르는제주,일반음식점,한식,"제주특별자치도 제주시 한림읍 한수풀로 176-19, 1층"
애월회센터,일반음식점,횟집,"제주특별자치도 제주시 애월읍 신엄9길 72-11, 1층"
쉐프부부,일반음식점,일식,"제주특별자치도 제주시 다랑곶길 15, 103호 (노형동)"
해신한림식당,일반음식점,한식,"제주특별자치도 제주시 한림읍 명월성로 5, 1층"
17번가,일반음식점,호프/통닭,"제주특별자치도 제주시 애월읍 항몽로 17, 1층"
태백산제주본점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 도공로 154-12, 1~2층 (이호이동)"
퐁낭집,일반음식점,한식,"제주특별자치도 제주시 애월읍 유수암로 36, 1층"
트로이,일반음식점,기타,"제주특별자치도 제주시 원노형로 22, 2층 (노형동)"
제주애월회관,일반음식점,식육(숯불구이),"제주특별자치도 제주시 애월읍 애월로 38, 1층"
제주윤슬,일반음식점,호프/통닭,"제주특별자치도 제주시 신성로 39-2, 1층 (도남동)"
문경회센터,일반음식점,횟집,"제주특별자치도 제주시 인다7길 10, 1층 (아라일동)"
김밥천국이도점,일반음식점,한식,제주특별자치도 제주시 중앙로 348 (이도이동)
해루,일반음식점,일식,"제주특별자치도 제주시 지석12길 14, 1층 (삼양이동)"
도준,일반음식점,한식,"제주특별자치도 제주시 한림읍 문교길 6, 1층"
접시고기,일반음식점,정종/대포집/소주방,"제주특별자치도 제주시 광양13길 18 (이도이동,(1층))"
코지오베르쥬,일반음식점,기타,"제주특별자치도 제주시 연화로2길 17-5, 1층 (연동)"
제주고세호해장국제주서사라점,일반음식점,호프/통닭,"제주특별자치도 제주시 서광로13길 22, 1층 (삼도일동)"
삼다버거,일반음식점,기타,"제주특별자치도 제주시 구좌읍 선유로 80, 1층"
이노찌,일반음식점,기타,"제주특별자치도 제주시 애월읍 장전로 16, 1층"
오젠,일반음식점,일식,"제주특별자치도 제주시 고마로 123, 102호 (일도이동)"
삼양다맛,일반음식점,한식,"제주특별자치도 제주시 원당로7길 18, 1층 (삼양일동)"
정직한통닭중앙점,일반음식점,호프/통닭,"제주특별자치도 제주시 중앙로14길 29, 1층 (삼도이동)"
수오름,일반음식점,한식,제주특별자치도 제주시 문송1길 15 (연동)
제주깜돈,일반음식점,식육(숯불구이),"제주특별자치도 제주시 조천읍 신북로 525, 1층"
파도,일반음식점,한식,"제주특별자치도 제주시 성지로 68-1 (일도이동,(성지로114))"
공과간,일반음식점,기타,"제주특별자치도 제주시 신대로14길 38, 1층 (연동)"
야미부대찌개본점,일반음식점,기타,제주특별자치도 제주시 한경면 녹차분재로 621
낭만오름,일반음식점,한식,"제주특별자치도 제주시 정실동1길 4, 1층 (오라이동)"
더통큰집,일반음식점,한식,제주특별자치도 제주시 월랑로4길 6 (노형동)
맛고을명가,일반음식점,한식,제주특별자치도 제주시 중앙로1길 12 (건입동)
미미국수,일반음식점,한식,"제주특별자치도 제주시 삼성로 39, 1층 (일도이동)"
짚카페,일반음식점,분식,"제주특별자치도 제주시 가령로 40, 1층 (이도이동)"
함덕감자탕,일반음식점,한식,"제주특별자치도 제주시 조천읍 함덕로 28-1, 1층"
하여금,일반음식점,한식,"제주특별자치도 제주시 원노형4길 11, 1층 (노형동)"
끌림,일반음식점,한식,"제주특별자치도 제주시 동고산로 47, 3층 (이도이동)"
아파트먼트커피,일반음식점,기타,"제주특별자치도 제주시 한경면 청수서2길 96, 1층"
손맛촌에코랜드사려니조천본점,일반음식점,한식,제주특별자치도 제주시 조천읍 비자림로 661
시네마,일반음식점,호프/통닭,"제주특별자치도 제주시 광양13길 2 (이도이동,(시청남2로2))"
제주한잔한화리조트제주점,일반음식점,한식,"제주특별자치도 제주시 명림로 575-107 (회천동, 고객센타1층104호)"
우미정,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화2길 7
조천틈,일반음식점,기타,"제주특별자치도 제주시 조천읍 조천11길 6, 1층"
향토음식점서우,일반음식점,경양식,"제주특별자치도 제주시 조천읍 신북로 536-1, 2층"
리치망고우도검멀레점,일반음식점,기타,"제주특별자치도 제주시 우도면 우도해안길 1132, 이동 1층"
오늘보쌈,일반음식점,한식,"제주특별자치도 제주시 애월읍 신엄7길 9, 1층"
30년일소추어탕,일반음식점,한식,제주특별자치도 제주시 삼무로 74 (연동)
발베니,일반음식점,기타,"제주특별자치도 제주시 남녕로 41, 3층 (노형동)"
돈까스송쉡,일반음식점,한식,"제주특별자치도 제주시 조천읍 조함해안로 538, 2층"
스시마씸월정점,일반음식점,일식,"제주특별자치도 제주시 구좌읍 월정3길 50, 1층"
웨스트포인트제주,일반음식점,기타,"제주특별자치도 제주시 한경면 일주서로 4533-19, 1층"
연리지가든,일반음식점,식육(숯불구이),"제주특별자치도 제주시 한경면 두조로 190-20, 다동 1층"
또르막제주혼술바협재,일반음식점,한식,"제주특별자치도 제주시 한림읍 한림로 380, 1층"
함덕리486,일반음식점,한식,"제주특별자치도 제주시 조천읍 조함해안로 486, 1층"
제주정육식당,일반음식점,기타,"제주특별자치도 제주시 관덕로14길 10, 2층 (이도일동)"
야식돼지,일반음식점,기타,"제주특별자치도 제주시 삼무로11길 16, 109,110호 (연동, 일우연립주택)"
어반정글그레이밤부,일반음식점,한식,"제주특별자치도 제주시 조천읍 일주동로 1611, 지하1층"
문어빵빵,일반음식점,기타,"제주특별자치도 제주시 한림읍 한림로 668, 1층"
연SG스크린골프,일반음식점,기타,"제주특별자치도 제주시 도남로 142, B101호 (이도이동, 범아빌딩)"
엉알펍,일반음식점,한식,"제주특별자치도 제주시 한경면 고조로 24, 1층"
뻐꾸기,일반음식점,호프/통닭,제주특별자치도 제주시 신성로13길 1 (이도이동)
백년초식당,일반음식점,한식,제주특별자치도 제주시 원노형로 63-1 (노형동)
삼성식당,일반음식점,한식,제주특별자치도 제주시 서문로4길 13-2 (용담일동)
바다어사또,일반음식점,횟집,제주특별자치도 제주시 조천읍 조함해안로 478
우가촌숯불구이,일반음식점,한식,제주특별자치도 제주시 신산로 40 (일도이동)
청송도시락식당,일반음식점,한식,"제주특별자치도 제주시 성신로1길 7, 101호 (연동,수앤숙빌)"
삼형제민재민형민준이네,일반음식점,한식,제주특별자치도 제주시 삼봉로 144 (도련일동)
명품전통육개장,일반음식점,한식,"제주특별자치도 제주시 원노형로 37, 1층 (노형동)"
대풍해장국,일반음식점,한식,"제주특별자치도 제주시 삼봉로 39, 1층 (도련이동)"
주영,일반음식점,일식,"제주특별자치도 제주시 신설로11길 13, 1층 (아라이동)"
범선,일반음식점,한식,"제주특별자치도 제주시 우도면 우도해안길 832, 1층"
엑스,일반음식점,기타,"제주특별자치도 제주시 노형10길 21, 1층 (노형동)"
스시애월,일반음식점,일식,"제주특별자치도 제주시 애월읍 장전로 57, 제1동 1층"
제제,일반음식점,기타,"제주특별자치도 제주시 원노형남2길 41, 101호 (노형동)"
까브,일반음식점,기타,"제주특별자치도 제주시 일주서로 7642, 1층 (이호이동)"
올리브,일반음식점,뷔페식,"제주특별자치도 제주시 서해안로 100, 지하1층 (이호일동)"
협동조합시니어손맛집,일반음식점,한식,"제주특별자치도 제주시 진군3길 28, 1층 (노형동)"
강식당,일반음식점,경양식,"제주특별자치도 제주시 한림읍 협재1길 30, 1층"
엉터리무한대패제주시청점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 광양10길 12, 2층 (이도이동)"
풍선비행기군단,일반음식점,한식,제주특별자치도 제주시 구좌읍 평대10길 45-46 (제2호)
스시호시카이,일반음식점,일식,제주특별자치도 제주시 오남로 90 (오라이동)
오일장오뚜기식당,일반음식점,한식,"제주특별자치도 제주시 오일장서길 26 (도두일동, 제20-11호)"
홀인원스크린골프구내,일반음식점,한식,"제주특별자치도 제주시 과원로 지하 38, 지하1층 (연동)"
엄마손,일반음식점,한식,제주특별자치도 제주시 연동3길 35 (연동)
브레드앤스위트플레이스,일반음식점,경양식,제주특별자치도 제주시 애월읍 유수암서길 24
만두나라,일반음식점,분식,제주특별자치도 제주시 중앙로 132 (삼도이동)
장금이,일반음식점,한식,"제주특별자치도 제주시 도공로 35, 1층 (도두일동)"
도야짬뽕제주외도점,일반음식점,출장조리,"제주특별자치도 제주시 일주서로 7321, 1층 (외도이동)"
제주삼다장구좌월정리세화비자림본점,일반음식점,한식,"제주특별자치도 제주시 구좌읍 비자숲길 15, 1동 1층"
위아굿프렌즈,일반음식점,까페,"제주특별자치도 제주시 국기로1길 5, 1층 (연동)"
해원담,일반음식점,한식,"제주특별자치도 제주시 선사로 36, 1층 (삼양이동)"
어머니밥상,일반음식점,식육(숯불구이),"제주특별자치도 제주시 애월읍 넙은밧길 106, 1층"
파랑도,일반음식점,횟집,"제주특별자치도 제주시 서해안로 658 (용담삼동,(서해안로25))"
명품닭칼국수,일반음식점,한식,제주특별자치도 제주시 번영로 527 (봉개동)
규태네남녕점,일반음식점,한식,제주특별자치도 제주시 월랑로4길 40 (노형동)
금상족발,일반음식점,한식,"제주특별자치도 제주시 연동4길 12, 1층 (연동)"
아주좋아,일반음식점,호프/통닭,제주특별자치도 제주시 신대로16길 34 (연동)
우담해장국제주본점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 남광로2길 43, 1층 (이도이동)"
오늘한잔해,일반음식점,호프/통닭,제주특별자치도 제주시 남녕로 39 (노형동)
이꼬이,일반음식점,한식,"제주특별자치도 제주시 중앙로5길 18 (일도일동, 외1필지)"
서원토종닭,일반음식점,한식,제주특별자치도 제주시 삼성로13길 35 (일도이동)
매콤달콤오일장떡볶이,일반음식점,분식,제주특별자치도 제주시 동문로4길 17 (일도일동)
카페인우도,일반음식점,기타,"제주특별자치도 제주시 우도면 우도해안길 1040, 1층"
이층포차,일반음식점,호프/통닭,제주특별자치도 제주시 동광로 24 (이도이동)
칭다오양꼬치화북점,일반음식점,경양식,"제주특별자치도 제주시 동화로 5, 201호 (화북일동)"
우정,일반음식점,한식,제주특별자치도 제주시 한림읍 한림상로 139
죽이야기제주연동점,일반음식점,한식,"제주특별자치도 제주시 도령로 73, 108호 (연동)"
한끼국수,일반음식점,한식,"제주특별자치도 제주시 광평동로 36, 1층 (노형동)"
포동정식시청점,일반음식점,한식,제주특별자치도 제주시 광양11길 20 (이도이동)
황토,일반음식점,한식,"제주특별자치도 제주시 오일장서길 26, 6-41호, 6-42호 (도두일동)"
다래향2호점,일반음식점,중국식,"제주특별자치도 제주시 구좌읍 세화1길 4, 1층"
남문숯불바베큐엔치킨일도직영점,일반음식점,통닭(치킨),"제주특별자치도 제주시 고마로 136, 102호 (이도이동)"
바다길횟집,일반음식점,횟집,제주특별자치도 제주시 서해안로 224 (도두일동)
비자림면가산방식당메이즈랜드점,일반음식점,뷔페식,제주특별자치도 제주시 구좌읍 비자림로 2134-106
대유,일반음식점,한식,제주특별자치도 제주시 한림읍 한림해안로 140
하얼빈양꼬치,일반음식점,한식,"제주특별자치도 제주시 신대로16길 42, 2층 (연동)"
투썸플레이스곽지과물해변점,일반음식점,기타,"제주특별자치도 제주시 애월읍 곽지3길 26, A동 1층"
주식회사미정청년다방이도점,일반음식점,기타,"제주특별자치도 제주시 남광로2길 41-1, 1층 (이도이동)"
미루네닭숯불구이삼화점,일반음식점,한식,"제주특별자치도 제주시 건주로4길 14-6, 1층 (도련일동)"
만장일치본점,일반음식점,한식,"제주특별자치도 제주시 탑동로 31, 1층 4호 (삼도이동)"
니꼬내꼬,일반음식점,호프/통닭,"제주특별자치도 제주시 광양4길 7, 1층 (이도일동)"
바나나식당,일반음식점,기타,"제주특별자치도 제주시 구좌읍 문주란로 83, 1층"
별이네국수,일반음식점,한식,"제주특별자치도 제주시 남녕로 39 (노형동,(남녕로 55))"
설빙제주시청점,일반음식점,기타,"제주특별자치도 제주시 광양14길 7, 2층 (이도이동)"
미르,일반음식점,호프/통닭,제주특별자치도 제주시 도남로5길 4 (도남동)
케이백,일반음식점,호프/통닭,"제주특별자치도 제주시 신광로 48 (연동,(신광로66))"
신촌불닭발,일반음식점,통닭(치킨),제주특별자치도 제주시 원노형남1길 35 (노형동)
교촌치킨건입점,일반음식점,통닭(치킨),"제주특별자치도 제주시 고마로 29, 1층 (일도이동)"
금뽕똘,일반음식점,한식,"제주특별자치도 제주시 번영로 500 (봉개동, (1층, 2층))"
배불떡,일반음식점,한식,"제주특별자치도 제주시 한림읍 한림로 318, 1층"
규방,일반음식점,호프/통닭,"제주특별자치도 제주시 도령로13길 9, 104호 (연동)"
황궁쟁반탐라원,일반음식점,식육(숯불구이),"제주특별자치도 제주시 원노형6길 7 (노형동,(원노형3로 11))"
화북대표술집,일반음식점,호프/통닭,제주특별자치도 제주시 진남로6길 12 (화북일동)
서울24시,일반음식점,탕류(보신용),제주특별자치도 제주시 신성로 96 (도남동)
소락,일반음식점,한식,"제주특별자치도 제주시 남광로2길 7-17, 1층 (이도이동)"
오르세,일반음식점,한식,"제주특별자치도 제주시 고마로15길 2, 2층 (일도이동)"
에피소드,일반음식점,한식,"제주특별자치도 제주시 한경면 고조로 62, 1층"
타코하나,일반음식점,한식,"제주특별자치도 제주시 한림읍 한림로 658, 1층"
도란도란행복한시간이흐르는곳,일반음식점,분식,"제주특별자치도 제주시 한림읍 명월성로 16, 1층"
라신비,일반음식점,한식,"제주특별자치도 제주시 한림읍 한림해안로 548, 1층"
삼공주회센터,일반음식점,횟집,"제주특별자치도 제주시 진동로 74-6, 1층 (화북일동)"
삼공주회센터2호,일반음식점,한식,"제주특별자치도 제주시 진동로 74-6, 2층 (화북일동)"
신풍해장국,일반음식점,한식,"제주특별자치도 제주시 동광로16길 1, 1층 (일도이동)"
부가네얼큰이서사라점,일반음식점,호프/통닭,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)"
보성정육식당,일반음식점,식육(숯불구이),"제주특별자치도 제주시 동광로1길 31, 1층 (이도일동)"
하오츠,일반음식점,중국식,"제주특별자치도 제주시 조천읍 북촌12길 33-3, 2층"
화북옛통치킨,일반음식점,통닭(치킨),"제주특별자치도 제주시 진남로6길 12, 1층 (화북일동)"
신설로11길쉼팡,일반음식점,한식,"제주특별자치도 제주시 신설로11길 2-3, 1층 (아라이동)"
설촌명가,일반음식점,식육(숯불구이),제주특별자치도 제주시 설촌로 11 (삼양이동)
묵털리대구막창,일반음식점,식육(숯불구이),제주특별자치도 제주시 천수로 83 (일도이동)
촌뜨기화로구이,일반음식점,한식,제주특별자치도 제주시 도남로 117 (도남동)
뼈앤돈,일반음식점,식육(숯불구이),"제주특별자치도 제주시 조천읍 조천우회로 524, 1층"
빨간맛집함덕점,일반음식점,한식,"제주특별자치도 제주시 조천읍 함덕13길 4, 2층"
피카,일반음식점,호프/통닭,"제주특별자치도 제주시 진동로5길 9, 104호 (화북일동)"
협재문어국밥,일반음식점,식육(숯불구이),"제주특별자치도 제주시 한림읍 협재2길 8-4, 1층 제2호"
면차롱,일반음식점,중국식,"제주특별자치도 제주시 한림읍 한림로 380, 1층"
카페오드리,일반음식점,기타,"제주특별자치도 제주시 한림읍 한창로 1294, 제1동 1층"
낭불,일반음식점,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 가령골길 4, 가,나동 1층 (일도이동)"
오크라,일반음식점,한식,제주특별자치도 제주시 한림읍 귀덕14길 57-2
달소금,일반음식점,통닭(치킨),제주특별자치도 제주시 성신로1길 22 (연동)
외도용국수,일반음식점,한식,제주특별자치도 제주시 수정2길 10 (외도일동)
고니식당,일반음식점,한식,"제주특별자치도 제주시 아란7길 3-7, 101호 (아라일동)"
서바,일반음식점,기타,"제주특별자치도 제주시 월랑로10길 31, 지하1층 (노형동)"
제주섬신룽푸마라탕한라대점,일반음식점,중국식,"제주특별자치도 제주시 한라대학로 33, 2층 (노형동)"
한수어촌계 톤대섬,일반음식점,한식,
호성,일반음식점,호프/통닭,"제주특별자치도 제주시 한림읍 한림로 665, 2층"
