사업장명,업종구분대분류,업종구분소분류,도로명전체주소
뽕꼬랑,일반음식점,기타,"제주특별자치도 제주시 조천읍 남조로 2228, 1층"
노가리앤비어이도일동점,일반음식점,호프/통닭,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)"
진주네로,일반음식점,한식,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층"
오토김밥제주점,일반음식점,기타,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)"
젠틀래빗제주연동점,일반음식점,패밀리레스트랑,"제주특별자치도 제주시 연동12길 4, 15층 (연동)"
딜레탕트,일반음식점,기타,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층"
김지안오리해장국,일반음식점,한식,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)"
체게바라,일반음식점,기타,"제주특별자치도 제주시 내도3길 21, 1층 (내도동)"
미리로,일반음식점,기타,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)"
36.5도여름,일반음식점,기타,"제주특별자치도 제주시 애월읍 애납로 165, 1층"
더더,일반음식점,기타,"제주특별자치도 제주시 애월읍 엄장로 16, 1층"
안녕전복,일반음식점,한식,"제주특별자치도 제주시 오일장중길 89-16, 1층 (도두일동)"
한앤솜하우스,일반음식점,기타,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)"
치토랑제주아라점,일반음식점,경양식,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)"
온푸드,일반음식점,한식,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)"
삼양백년짜장,일반음식점,중국식,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)"
부원뚝배기,일반음식점,한식,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층"
호탕,일반음식점,한식,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층"
다다미,일반음식점,한식,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)"
드니커피,일반음식점,경양식,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)"
춘천명동닭갈비삼화점,일반음식점,한식,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)"
옹포쌀국수,일반음식점,분식,"제주특별자치도 제주시 서문로 70-1, 1~3층 (용담일동)"
카페공방아지트,일반음식점,기타,"제주특별자치도 제주시 조천읍 조천7길 25, 1층"
바른곱창하귀점,일반음식점,기타,"제주특별자치도 제주시 애월읍 하광로 53, 1층"
신제주황가네,일반음식점,기타,"제주특별자치도 제주시 은남3길 28, 1층 (연동)"
고이정,일반음식점,기타,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층"
옹포83,일반음식점,경양식,"제주특별자치도 제주시 한림읍 옹포8길 3, 1층"
가죽이랑놀자,일반음식점,기타,"제주특별자치도 제주시 구좌읍 월정7길 44, 1층"
일품순두부함덕점,일반음식점,한식,"제주특별자치도 제주시 조천읍 함와로 24, 1층"
월정맑음,일반음식점,기타,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층"
모음해장국,일반음식점,기타,"제주특별자치도 제주시 사라봉13길 16, 1층 (건입동)"
제주덕구제주점,일반음식점,기타,"제주특별자치도 제주시 인다6길 57, 1층 (아라일동)"
주민상회하귀점,일반음식점,한식,"제주특별자치도 제주시 애월읍 하광로 46, 1층"
미번베트남쌀국수,일반음식점,기타,"제주특별자치도 제주시 한림읍 한림로5길 23, 1층 1호"
주모,일반음식점,기타,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)"
아일랜드프로젝트,일반음식점,기타,"제주특별자치도 제주시 전농로 29, 1층 (삼도일동)"
당당,일반음식점,기타,제주특별자치도 제주시 애월읍 중엄안1길 25
미화족발전문점,일반음식점,한식,"제주특별자치도 제주시 진동로5길 31, 144호 (화북일동, 화북시장아파트)"
오리좋아,일반음식점,한식,"제주특별자치도 제주시 도남로7길 30, 1층 (도남동)"
영도할배국밥,일반음식점,기타,"제주특별자치도 제주시 삼성로 59, 1층 (일도이동)"
꼬지사께연동점,일반음식점,기타,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)"
영평가시나물마을회,일반음식점,한식,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)"
카페포레스트,일반음식점,기타,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층"
착한소21,일반음식점,한식,"제주특별자치도 제주시 천수로 52, 오성빌딩 1층 (일도이동)"
에스,일반음식점,기타,"제주특별자치도 제주시 원노형2길 29, 2층 (노형동)"
무보,일반음식점,한식,"제주특별자치도 제주시 한림읍 금능6길 16-14, 1층"
이스트포레스트,일반음식점,기타,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층"
콩창고,일반음식점,기타,"제주특별자치도 제주시 한림읍 명월성로 55, 1층"
초딩입맛,일반음식점,기타,"제주특별자치도 제주시 다랑곶길 36, 1층 (노형동, 솔누리주택)"
하르방짬뽕,일반음식점,기타,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층"
오늘회가서쪽에서뜨겠네,일반음식점,기타,"제주특별자치도 제주시 남성로 42, 1층 (용담일동)"
군산야식,일반음식점,호프/통닭,"제주특별자치도 제주시 서사로 105, 1층 (삼도일동)"
장어창고,일반음식점,한식,"제주특별자치도 제주시 한경면 두신로 146, 1층"
동백키친,일반음식점,한식,"제주특별자치도 제주시 한림읍 수원7길 42, 1층"
비비큐올리브카페제주시청점,일반음식점,기타,제주특별자치도 제주시 서광로 292-1 (이도이동)
돌담위에흑돼지,일반음식점,한식,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층"
옛날통닭닭치고족치고함덕점,일반음식점,기타,"제주특별자치도 제주시 조천읍 함와로 54, 1층"
골프존클럽하우스그늘집,일반음식점,기타,"제주특별자치도 제주시 월랑로 51, 1층 (노형동)"
서머셋,일반음식점,경양식,"제주특별자치도 제주시 삼무로 66, 1층 (연동)"
엘리펀트힙,일반음식점,기타,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)"
소확행,일반음식점,한식,"제주특별자치도 제주시 동광로 12, 1층 (이도이동)"
나르드카페,일반음식점,경양식,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층"
딱새우랑,일반음식점,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층"
뮤커피(mucoffee),일반음식점,기타,"제주특별자치도 제주시 우정로15길 42-3, 1층 (외도일동)"
와흘리온,일반음식점,기타,"제주특별자치도 제주시 조천읍 중산간동로 430-1, 1층"
비비큐제주우도점,일반음식점,호프/통닭,"제주특별자치도 제주시 우도면 우도비양길 53-8, 1층"
꽃잎대패제주아라점,일반음식점,뷔페식,"제주특별자치도 제주시 구산로 70-1, 1층 (아라일동)"
제주담다KBS제주점,일반음식점,뷔페식,"제주특별자치도 제주시 복지로1길 8, KBS 제주방송총국 1층 (도남동)"
땡겨불닭,일반음식점,한식,"제주특별자치도 제주시 도남로15길 4-12, 1층 101호 (도남동, 한아빌라)"
호랑이다락,일반음식점,경양식,"제주특별자치도 제주시 한림읍 한림상로 15-5, 다동 2층"
바다수선화식당,일반음식점,경양식,"제주특별자치도 제주시 한림읍 협재1길 24, 본동,2동"
엠케이엠1에프앤비,일반음식점,기타,"제주특별자치도 제주시 구남로 49, 지1층 (이도이동)"
고모네돔베,일반음식점,한식,"제주특별자치도 제주시 조천읍 선교로 519, 1층"
연동혼떡,일반음식점,한식,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 20호 (연동)"
라뷰,일반음식점,경양식,"제주특별자치도 제주시 중앙로 114, 2층 (삼도이동)"
한림로555,일반음식점,기타,"제주특별자치도 제주시 서광로30길 7, 1층 (이도이동)"
우주파,일반음식점,경양식,"제주특별자치도 제주시 탑동로 81, 1층 (삼도이동)"
어른아이책방,일반음식점,기타,"제주특별자치도 제주시 구좌읍 일주동로 1640, 1층"
굿데이즈,일반음식점,기타,"제주특별자치도 제주시 정원로 43-1, 1층 (노형동)"
함덕국수,일반음식점,한식,"제주특별자치도 제주시 조천읍 신북로 525, 1층"
우도은범이네,일반음식점,한식,"제주특별자치도 제주시 우도면 우도로 168, 1층"
아리포차,일반음식점,정종/대포집/소주방,"제주특별자치도 제주시 은남2길 29, 1층 (연동)"
애월남도한상,일반음식점,한식,"제주특별자치도 제주시 애월읍 구엄동3길 8, 1층"
찻집지안본점,일반음식점,한식,"제주특별자치도 제주시 애월읍 유수암로 23, 1층"
구엄에서,일반음식점,한식,"제주특별자치도 제주시 애월읍 엄수로 36, 1층"
두인제주혼술바,일반음식점,기타,"제주특별자치도 제주시 서문로 23-1, 2층 (용담일동)"
소플러스,일반음식점,식육(숯불구이),"제주특별자치도 제주시 연북로 618, 1층 (아라이동)"
